nombre_material,masa_molar,electrones_desapareados,susceptibilidad,temperatura_curie,conductividad,clase_magnetica
Ferro_102,54.09150078819046,5,545.7241065743691,291.5548883725615,976237.341279817,ferromagnetico
Ferro_308,48.27743733621314,4,272.92783269398655,527.743583507827,982592.5682501018,ferromagnetico
Ferro_681,53.158955218102314,3,1033.2346783626433,642.9974585504498,1064175.2411988026,ferromagnetico
Ferro_600,52.70352383674153,4,682.6092775339843,640.3153770083858,1002899.6539622024,ferromagnetico
Ferro_1,46.84791144996232,4,860.2226586870289,642.0654520707732,923869.9887677776,ferromagnetico
Ferro_461,57.33564853141029,3,329.2433685403132,537.8819236037042,895682.6469026647,ferromagnetico
Ferro_14,40.735369992448895,5,781.6895647492373,732.4238758274226,1001442.6777145029,ferromagnetico
Ferro_502,50.484913365393744,3,783.7764116292466,642.1163416021943,994230.8184554303,ferromagnetico
Ferro_768,53.13473006630258,4,506.2218559950833,438.8705683519722,1212745.6314373936,ferromagnetico
Ferro_484,55.99290888676735,3,753.7199825947151,931.2198319400042,1125426.9655930623,ferromagnetico
Ferro_645,46.76974889515095,5,385.0955147075441,413.70081509998056,1029668.4145681584,ferromagnetico
Ferro_632,49.50200886175031,5,19.963695932258858,468.950667141173,913580.5258479179,ferromagnetico
Ferro_974,50.54725026071924,2,199.47458964799097,509.63785673048733,845248.2902196305,ferromagnetico
Ferro_951,57.652971208710774,4,546.1593895505889,413.18675681486707,1033502.3866722671,ferromagnetico
Ferro_415,51.789822488140274,3,801.1077630201029,627.4397405560403,1055001.2152203885,ferromagnetico
Ferro_200,54.17627609386997,4,192.1622883938375,345.68146745927913,849390.2502557785,ferromagnetico
Ferro_863,48.31089076233047,5,791.8043389718555,519.3705800919076,998972.3348163036,ferromagnetico
Ferro_623,57.26358692712823,7,326.11325262348026,567.8119457334055,1073575.1812832279,ferromagnetico
Ferro_130,57.38097407119262,5,493.18379026864636,952.5167632668514,816335.8182763082,ferromagnetico
Ferro_995,51.436938329675094,5,417.88399254109174,943.9235787196767,1205497.5598719555,ferromagnetico
Ferro_459,66.89216016547195,5,932.3089642329204,635.2244634473919,1171738.6205551205,ferromagnetico
Ferro_878,43.254482349488796,4,715.4028975483686,977.1374332415241,1035708.9142784372,ferromagnetico
Ferro_180,56.86299539295298,4,256.37406421229593,397.52773814378446,1044459.6011358835,ferromagnetico
Ferro_322,50.16315454522675,5,687.8727680672799,820.5411059476489,1176802.2576997965,ferromagnetico
Ferro_175,47.66264870702297,3,633.7713101428407,335.4340752669582,885790.307445189,ferromagnetico
Ferro_958,64.86004123773888,4,610.6836274239907,258.4542559809382,888924.85155642,ferromagnetico
Ferro_992,55.0707150326217,4,874.678337386611,500.9530455848929,919108.7159690161,ferromagnetico
Ferro_786,49.73565193133748,4,97.73154904681722,486.0967915433101,910039.0687666131,ferromagnetico
Ferro_637,57.98525983002612,7,499.47819552447754,814.4035883596525,896511.4450362982,ferromagnetico
Ferro_46,52.83429451434979,6,82.70955603365647,381.29019092497333,715991.3081406615,ferromagnetico
Ferro_521,57.71153668837854,6,667.7169801615737,1006.4491187058275,1101831.870098714,ferromagnetico
Ferro_544,71.67037845949696,3,961.5964599522342,929.5140317152676,987623.7179851647,ferromagnetico
Ferro_848,54.835565923341484,3,376.28748777252434,606.5507236548731,1161809.330645285,ferromagnetico
Ferro_675,56.57880139407361,4,825.4719635367028,564.9884280039907,1008605.6528354189,ferromagnetico
Ferro_189,48.62764823843624,6,342.2931385742067,551.6972678251284,1224973.5809499556,ferromagnetico
Ferro_18,51.94521922771157,4,1017.6967555385995,655.4557216041536,820476.0020188272,ferromagnetico
Ferro_890,54.17835514514526,5,789.6953661050422,1012.7267482587034,1053218.6135239454,ferromagnetico
Ferro_173,53.752104927768805,5,824.3653084287251,368.4363474165822,1084405.6213534963,ferromagnetico
Ferro_510,58.88469266278713,6,502.4826099890815,524.8369958632153,1036114.1219598897,ferromagnetico
Ferro_172,45.55492234600749,4,191.98494045803335,738.4217965251092,1015235.2470907454,ferromagnetico
Ferro_368,52.26937959542058,6,970.8043401034514,678.7749021723574,1044448.1997377225,ferromagnetico
Ferro_440,57.80423924760291,5,796.152249955281,679.0934633935362,1052366.8996583207,ferromagnetico
Ferro_667,48.30794434635607,3,358.10245543103764,434.45774673036635,890711.3810500854,ferromagnetico
Ferro_200,58.15036745759914,4,740.371853335699,650.3598117951888,1087447.5946853228,ferromagnetico
Ferro_223,57.055426674539454,5,197.21735851242937,334.3039479439634,1058088.3299173766,ferromagnetico
Ferro_770,61.546710893516696,5,935.6620290711098,639.672042078618,897947.9560942026,ferromagnetico
Ferro_880,36.65011348534771,4,863.7639860314689,955.614549960922,1344717.361741155,ferromagnetico
Ferro_909,49.600846673377234,5,166.48095215571186,662.5616583039009,1019699.5631822818,ferromagnetico
Ferro_165,58.96006802306569,5,666.6514709440155,904.804343867493,993917.739628848,ferromagnetico
Ferro_449,56.6068809767543,3,328.04549989852137,390.6607474126345,1055841.8031391622,ferromagnetico
Ferro_194,57.392752895183456,3,855.9950460999466,532.3593069577944,1101713.8292814076,ferromagnetico
Ferro_523,64.92888770592357,3,549.7621846137758,861.2305084242652,943936.1433984659,ferromagnetico
Ferro_349,49.31671632136388,5,962.4362629859338,674.2407715910958,1018141.7697000391,ferromagnetico
Ferro_385,66.02932609285837,4,1005.7497801932745,418.6838294837917,992690.1823232546,ferromagnetico
Ferro_14,54.7209779991938,5,814.6803149859492,301.58329943751517,997933.0018379124,ferromagnetico
Ferro_393,44.4180002015422,6,255.39396489218393,861.3744069438357,883903.3704919198,ferromagnetico
Ferro_424,57.522745164974765,3,567.7734649746349,507.17741097345163,951387.8613421739,ferromagnetico
Ferro_445,51.831270865704155,4,908.6658350719895,554.8707243527326,1033506.2527860851,ferromagnetico
Ferro_3,63.70945794684587,5,608.5671495638405,616.8327357595062,1091094.4906659434,ferromagnetico
Ferro_139,51.85458730370281,4,322.745391737059,647.2400352607993,937897.302855351,ferromagnetico
